file,duration,spectral_centroid,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
audio_samples/sample_14.wav,4.464,3303.105653028895,0.18525855654761905,-331.31653,67.56685,4.908817,-1.3386794,-2.1508243,-4.2151937,-7.209666,-3.6584494,-9.129348,-5.0177712,-11.803035,4.751542,-4.9742017
audio_samples/sample_15.wav,9.792,2694.173459765858,0.14719132133152174,-318.68716,86.22565,5.2674527,2.8426766,-2.2681599,-4.1422725,-7.3322377,-8.809293,-10.407039,-6.5648723,-13.548281,0.14147206,-6.7885256
audio_samples/sample_16.wav,10.536,2043.5703233360164,0.09608366807945344,-320.61145,103.52744,-1.0836158,7.2322354,-0.81410015,-10.456635,-6.242765,-9.756261,-11.666488,-9.919603,-13.370315,-0.99155027,-9.471002
audio_samples/sample_17.wav,9.912,2323.35333207174,0.12090578797043011,-316.7737,100.05116,-1.6712712,2.4907782,-0.49473947,-8.791004,-7.2461047,-10.190493,-11.201373,-7.910852,-14.408243,-0.95853096,-6.667709
audio_samples/sample_18.wav,10.704,2654.603055163472,0.14666431928535856,-314.78076,88.32434,-0.56610096,3.794523,-0.5383038,-5.8838387,-6.6397166,-10.447721,-12.375648,-7.4725156,-14.615835,1.1244929,-6.9087353
audio_samples/sample_19.wav,11.208,2257.4101850833194,0.10712203689401141,-323.13422,99.36701,-2.961934,4.6487136,-2.1306458,-7.800834,-6.4219513,-11.146349,-9.987642,-8.306102,-12.809275,0.26205376,-7.0635047
audio_samples/sample_20.wav,3.936,2381.02014671981,0.10589368665540541,-344.72598,88.033226,-4.213339,5.163552,-3.0108864,-9.776889,-4.9139013,-9.784106,-9.724864,-5.7527213,-13.039966,-0.8754681,-8.490711
audio_samples/sample_21.wav,4.08,2214.085049803525,0.09702046712239583,-330.25992,98.333824,-2.3275537,9.091857,-5.112333,-7.89438,-4.23379,-7.0601277,-10.1504135,-8.82843,-10.12744,-1.4968313,-11.565379
audio_samples/sample_22.wav,4.392,3140.714746142182,0.17925610588592233,-330.60193,72.560326,4.187566,6.0658383,2.5742788,-5.2437654,-12.250983,-5.3346534,-7.202485,-3.3541508,-11.92959,1.8482665,-7.7499833
audio_samples/sample_23.wav,4.32,2401.901330032106,0.11127761314655173,-338.79272,87.61523,-0.42608264,6.072539,-1.7485569,-7.334766,-5.209028,-9.53774,-11.21678,-4.826573,-11.804228,-2.0790827,-10.072437
audio_samples/sample_24.wav,4.728,2438.05226781115,0.11129073409346847,-339.0107,93.97212,0.832494,4.279625,-1.2661628,-8.387559,-3.7114785,-8.622984,-10.864241,-7.0937753,-10.467437,0.058399234,-8.074167
audio_samples/sample_25.wav,11.736,2233.9691588240853,0.10512934579174228,-318.58524,93.21251,-1.0054119,11.477238,2.1546,-9.36077,-7.944308,-10.712442,-11.410298,-9.292736,-14.37337,-1.3607457,-7.9227114
audio_samples/sample_26.wav,11.688,2329.7789437023534,0.11218439923585767,-317.3902,90.09695,3.8442936,14.824693,8.068104,-9.933793,-10.137855,-9.840742,-12.524251,-10.818926,-15.122473,-0.9633375,-8.919988
audio_samples/sample_27.wav,12.192,2185.2422285209213,0.10401841810533216,-321.46127,93.99383,-1.0726391,12.412875,1.5283085,-9.686381,-6.332134,-9.033777,-10.597361,-9.118939,-13.158597,-1.818954,-8.361147
audio_samples/sample_28.wav,12.768,2533.3034430768794,0.12785469271702837,-322.3794,83.629776,2.676192,13.230956,1.5862966,-8.8516655,-7.00464,-8.112604,-11.4609995,-9.157124,-12.06244,-0.3855565,-8.61641
audio_samples/sample_29.wav,13.776,2435.964651114303,0.11599476344814241,-332.11038,83.675156,4.8485293,16.088444,4.358033,-9.586801,-7.735622,-7.3335247,-11.373319,-9.722916,-12.81078,-0.9481427,-8.095533
